id,name,host_id,host_name,host_since,neighbourhood,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,review_scores_value
2800887,Trendy and homy apartment,1337152,Pilou,26-10-2011,De Baarsjes - Oud-West,Apartment,Entire home/apt,2,1,1,110,3,0,20,1,0.51,9
2800908,Modern spacious and cosy houseboat,5617718,Sandra,25-03-2013,Oud-Noord,Houseboat,Entire home/apt,4,3,3,190,5,0,7,2,0.17,10
2802139,Cosy Apartment Amsterdam Oud-Zuid,14331753,Melanie,15-04-2014,Zuid,Apartment,Entire home/apt,2,1,1,89,3,0,21,1,0.75,9
2805147,Houseboat in Central Amsterdam,14349453,Elena,16-04-2014,Centrum-West,Boat,Entire home/apt,3,1,1,240,2,339,65,1,1.15,9
2805366,Amazing apartement in Amsterdam!,12598053,Janine,26-02-2014,Zuid,Apartment,Entire home/apt,2,1,2,113,3,22,38,1,0.69,9
2807515,Nice room plus balcony very near city centre,14360575,Josephine,16-04-2014,De Baarsjes - Oud-West,Apartment,Private room,2,1,1,70,3,16,221,1,3.94,9
2809026,4 bedroom app| Vondelpark | garden!,14366013,Anik,16-04-2014,Zuid,Loft,Entire home/apt,6,4,4,230,2,2,27,1,0.48,9
2809219,Amsterdam South Unique Apartment,14368593,Nicole,16-04-2014,Zuid,Apartment,Entire home/apt,2,1,1,200,2,84,4,1,0.24,10
2813205,Charming uptown house for 4p-family (max 2 adults),14391769,Jeroen,17-04-2014,Zuid,Apartment,Entire home/apt,4,3,4,149,4,18,15,1,0.27,10
2813295,Beautiful rustic room - centar,14392279,Ivan & Anela,17-04-2014,Centrum-West,House,Private room,2,1,1,90,2,16,123,2,2.2,9
2813493,AMS Spectacular central waterviews!,2049843,Christine Pieternella,01-04-2012,Oostelijk Havengebied - Indische Buurt,Condominium,Private room,1,1,1,90,30,365,28,4,0.5,9
2813797,FAB 2 Bed Canal View Apartment,5194004,David,23-02-2013,Centrum-West,Apartment,Entire home/apt,4,2,2,220,1,1,78,1,1.51,10
2814246,Center Canalview app. Prinsengracht,14396756,Marte,17-04-2014,Centrum-West,Apartment,Private room,2,1,1,175,3,330,102,1,1.88,9
2815078,Spacious apartment in canal house,14400278,Hester,17-04-2014,Centrum-Oost,Apartment,Entire home/apt,4,2,3,170,7,363,37,1,0.67,9
2817460,Sunny home overlooking the park,4183403,Arden,18-11-2012,Bos en Lommer,Apartment,Entire home/apt,3,2,2,110,3,195,35,1,0.65,9
2817811,"Vintage, laid back & friendly",3864345,Aliefka,14-10-2012,De Baarsjes - Oud-West,Apartment,Entire home/apt,3,2,3,110,5,46,29,1,0.52,10
2822772,Luxury app. with view at Westerpark,14440361,Bob,18-04-2014,Westerpark,Apartment,Entire home/apt,2,1,1,99,3,0,10,1,0.18,10
2823740,"Best of Both Worlds, 2 free bikes!",14445513,Anne,18-04-2014,Buitenveldert - Zuidas,House,Entire home/apt,2,1,1,105,3,237,15,1,0.27,9
2825996,Lovely bright family apartment,14458188,Niki,19-04-2014,Centrum-Oost,Apartment,Entire home/apt,4,3,3,245,3,0,11,1,0.21,9
2827475,Home in Amsterdam Jordaan (center),14451937,Ziv,18-04-2014,Centrum-West,Apartment,Entire home/apt,2,1,1,150,4,0,15,1,0.27,9
2829338,Stunning large apart. in centre + private parking,14474178,Ameen,19-04-2014,Centrum-Oost,Apartment,Entire home/apt,4,3,6,210,2,0,20,1,0.37,10
2829553,Lovely 2 room apt in ''de Pijp'' 65M2,14465690,Joris,19-04-2014,De Pijp - Rivierenbuurt,Apartment,Entire home/apt,2,1,2,120,4,36,46,1,0.82,9
2830788,Charming studio near Amstel river,5516496,Marieke,18-03-2013,Oud-Oost,Condominium,Private room,2,0,1,98,3,177,159,2,2.83,10
2833161,Charming appt next to Vondelpark,3402881,Jeroen,28-08-2012,Zuid,Apartment,Entire home/apt,2,2,1,99,3,0,0,1,tt,0
